Volatility 3 Framework 2.28.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xa98c6d2b3d48	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1036	svchost.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b3d48	TCPv6	::	135	::	0	LISTENING	1036	svchost.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b28a8	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1036	svchost.exe	2026-09-08 20:46:26.000000 UTC
0xa98c70bfb0e8	TCPv4	10.0.2.15	139	0.0.0.0	0	LISTENING	4	System	2026-09-09 11:04:18.000000 UTC
0xa98c6c822928	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2026-09-08 20:46:30.000000 UTC
0xa98c6c822928	TCPv6	::	445	::	0	LISTENING	4	System	2026-09-08 20:46:30.000000 UTC
0xa98c6c644e28	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	5080	svchost.exe	2026-09-08 20:46:41.000000 UTC
0xa98c70bfb7c8	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	3784	svchost.exe	2026-09-09 10:25:30.000000 UTC
0xa98c70bfb7c8	TCPv6	::	7680	::	0	LISTENING	3784	svchost.exe	2026-09-09 10:25:30.000000 UTC
0xa98c6d2b25e8	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	932	lsass.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b25e8	TCPv6	::	49664	::	0	LISTENING	932	lsass.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b2b68	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	932	lsass.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b2e28	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	768	wininit.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b2e28	TCPv6	::	49665	::	0	LISTENING	768	wininit.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d2b3ea8	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	768	wininit.exe	2026-09-08 20:46:26.000000 UTC
0xa98c6d5d5e28	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1400	svchost.exe	2026-09-08 20:46:27.000000 UTC
0xa98c6d5d5e28	TCPv6	::	49666	::	0	LISTENING	1400	svchost.exe	2026-09-08 20:46:27.000000 UTC
0xa98c6d5d6d48	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1400	svchost.exe	2026-09-08 20:46:27.000000 UTC
0xa98c6d5d6928	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1884	svchost.exe	2026-09-08 20:46:28.000000 UTC
0xa98c6d5d6928	TCPv6	::	49667	::	0	LISTENING	1884	svchost.exe	2026-09-08 20:46:28.000000 UTC
0xa98c6d5d5748	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1884	svchost.exe	2026-09-08 20:46:28.000000 UTC
0xa98c6d9a7248	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2844	spoolsv.exe	2026-09-08 20:46:29.000000 UTC
0xa98c6d9a7248	TCPv6	::	49668	::	0	LISTENING	2844	spoolsv.exe	2026-09-08 20:46:29.000000 UTC
0xa98c6d9a7be8	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2844	spoolsv.exe	2026-09-08 20:46:29.000000 UTC
0xa98c6c821a08	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	912	services.exe	2026-09-08 20:46:34.000000 UTC
0xa98c6c821a08	TCPv6	::	49670	::	0	LISTENING	912	services.exe	2026-09-08 20:46:34.000000 UTC
0xa98c6d9a65e8	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	912	services.exe	2026-09-08 20:46:34.000000 UTC
0xa98c7a362268	UDPv4	10.0.2.15	137	*	0		4	System	2026-09-09 11:04:18.000000 UTC
0xa98c7a35f828	UDPv4	10.0.2.15	138	*	0		4	System	2026-09-09 11:04:18.000000 UTC
0xa98c7a3606c8	UDPv6	fe80::d5f7:322d:374f:eb8	1900	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a361a48	UDPv6	::1	1900	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a35d608	UDPv4	10.0.2.15	1900	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a362c28	UDPv4	127.0.0.1	1900	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a359848	UDPv6	fe80::d5f7:322d:374f:eb8	2177	*	0		9648	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a3635e8	UDPv4	10.0.2.15	2177	*	0		9648	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c6e72b908	UDPv4	0.0.0.0	5050	*	0		5080	svchost.exe	2026-09-08 20:46:40.000000 UTC
0xa98c7a360388	UDPv4	0.0.0.0	5353	*	0		2108	svchost.exe	2026-09-09 11:04:18.000000 UTC
0xa98c7a360388	UDPv6	::	5353	*	0		2108	svchost.exe	2026-09-09 11:04:18.000000 UTC
0xa98c75daa288	UDPv4	0.0.0.0	5353	*	0		9192	msedge.exe	2026-09-09 08:13:16.000000 UTC
0xa98c7a362dc8	UDPv4	0.0.0.0	5353	*	0		2108	svchost.exe	2026-09-09 11:04:18.000000 UTC
0xa98c7a3729a8	UDPv4	0.0.0.0	5353	*	0		8960	msedge.exe	2026-09-09 11:04:22.000000 UTC
0xa98c75daa908	UDPv4	0.0.0.0	5353	*	0		9192	msedge.exe	2026-09-09 08:13:16.000000 UTC
0xa98c75daa908	UDPv6	::	5353	*	0		9192	msedge.exe	2026-09-09 08:13:16.000000 UTC
0xa98c7a3731c8	UDPv4	0.0.0.0	5353	*	0		8960	msedge.exe	2026-09-09 11:04:22.000000 UTC
0xa98c7a3731c8	UDPv6	::	5353	*	0		8960	msedge.exe	2026-09-09 11:04:22.000000 UTC
0xa98c7a3601e8	UDPv4	0.0.0.0	5355	*	0		2108	svchost.exe	2026-09-09 11:04:18.000000 UTC
0xa98c7a3601e8	UDPv6	::	5355	*	0		2108	svchost.exe	2026-09-09 11:04:18.000000 UTC
0xa98c7a35e4a8	UDPv4	0.0.0.0	5355	*	0		2108	svchost.exe	2026-09-09 11:04:18.000000 UTC
0xa98c71592308	UDPv4	0.0.0.0	54643	*	0		2108	svchost.exe	2026-09-09 12:16:03.000000 UTC
0xa98c71592308	UDPv6	::	54643	*	0		2108	svchost.exe	2026-09-09 12:16:03.000000 UTC
0xa98c71595568	UDPv4	0.0.0.0	60513	*	0		2108	svchost.exe	2026-09-09 12:16:03.000000 UTC
0xa98c71595568	UDPv6	::	60513	*	0		2108	svchost.exe	2026-09-09 12:16:03.000000 UTC
0xa98c7a35ee68	UDPv6	fe80::d5f7:322d:374f:eb8	61787	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a360048	UDPv6	::1	61788	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a360528	UDPv4	10.0.2.15	61789	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c7a35d7a8	UDPv4	127.0.0.1	61790	*	0		8008	svchost.exe	2026-09-09 11:04:16.000000 UTC
0xa98c6df89d68	UDPv4	127.0.0.1	62744	*	0		1964	svchost.exe	2026-09-08 20:46:30.000000 UTC
