Volatility 3 Framework 2.28.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

2472	912	svchost.exe	0xa98c6571a080	5	-	0	False	2026-09-08 20:46:28.000000 UTC	N/A	Disabled
124	4	Registry	0xa98c6573c080	4	-	N/A	False	2026-09-08 20:46:10.000000 UTC	N/A	Disabled
2328	912	svchost.exe	0xa98c65745080	7	-	0	False	2026-09-08 20:46:28.000000 UTC	N/A	Disabled
2124	912	svchost.exe	0xa98c65778080	2	-	0	False	2026-09-08 20:46:28.000000 UTC	N/A	Disabled
2180	912	svchost.exe	0xa98c65790080	3	-	0	False	2026-09-08 20:46:28.000000 UTC	N/A	Disabled
2188	912	svchost.exe	0xa98c65798080	8	-	0	False	2026-09-08 20:46:28.000000 UTC	N/A	Disabled
2376	912	svchost.exe	0xa98c657eb080	11	-	0	False	2026-09-08 20:46:28.000000 UTC	N/A	Disabled
696	648	csrss.exe	0xa98c69a30080	11	-	0	False	2026-09-08 20:46:25.000000 UTC	N/A	Disabled
488	4	smss.exe	0xa98c69ba8040	2	-	N/A	False	2026-09-08 20:46:18.000000 UTC	N/A	Disabled
932	768	lsass.exe	0xa98c6cf78080	11	-	0	False	2026-09-08 20:46:25.000000 UTC	N/A	Disabled
768	648	wininit.exe	0xa98c6cf82140	2	-	0	False	2026-09-08 20:46:25.000000 UTC	N/A	Disabled
776	760	csrss.exe	0xa98c6cf87080	14	-	1	False	2026-09-08 20:46:25.000000 UTC	N/A	Disabled
8792	912	svchost.exe	0xa98c6cfbd080	2	-	1	False	2026-09-08 20:49:30.000000 UTC	N/A	Disabled
840	760	winlogon.exe	0xa98c6cfbe080	6	-	1	False	2026-09-08 20:46:25.000000 UTC	N/A	Disabled
912	768	services.exe	0xa98c6cfe7080	7	-	0	False	2026-09-08 20:46:25.000000 UTC	N/A	Disabled
3288	520	RuntimeBroker.	0xa98c6d02e080	2	-	1	False	2026-09-08 21:35:04.000000 UTC	N/A	Disabled
464	768	fontdrvhost.ex	0xa98c6d12c080	5	-	0	False	2026-09-08 20:46:26.000000 UTC	N/A	Disabled
520	912	svchost.exe	0xa98c6d130080	15	-	0	False	2026-09-08 20:46:26.000000 UTC	N/A	Disabled
460	840	fontdrvhost.ex	0xa98c6d169080	5	-	1	False	2026-09-08 20:46:26.000000 UTC	N/A	Disabled
1036	912	svchost.exe	0xa98c6d1bf080	12	-	0	False	2026-09-08 20:46:26.000000 UTC	N/A	Disabled
1088	912	svchost.exe	0xa98c6d2f4080	5	-	0	False	2026-09-08 20:46:26.000000 UTC	N/A	Disabled
1156	840	dwm.exe	0xa98c6d391080	29	-	1	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
3632	2968	AggregatorHost	0xa98c6d431080	3	-	0	False	2026-09-08 20:46:35.000000 UTC	N/A	Disabled
1316	912	svchost.exe	0xa98c6d437080	0	-	0	False	2026-09-08 20:46:27.000000 UTC	2026-09-09 07:41:23.000000 UTC	Disabled
1312	912	svchost.exe	0xa98c6d438080	2	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1288	912	svchost.exe	0xa98c6d43e080	2	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1400	912	svchost.exe	0xa98c6d452080	7	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1432	912	svchost.exe	0xa98c6d453080	3	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1444	912	svchost.exe	0xa98c6d474080	6	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
4484	5708	msedgewebview2	0xa98c6d4dc080	13	-	1	False	2026-09-08 21:34:55.000000 UTC	N/A	Disabled
1496	912	svchost.exe	0xa98c6d4e3080	4	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1588	912	svchost.exe	0xa98c6d5f5080	7	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1716	912	VBoxService.ex	0xa98c6d636080	11	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1724	912	svchost.exe	0xa98c6d637080	6	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1680	912	svchost.exe	0xa98c6d63f080	8	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
1884	912	svchost.exe	0xa98c6d75c080	8	-	0	False	2026-09-08 20:46:27.000000 UTC	N/A	Disabled
